Brand,Engine name,End_of_production,Price
Acura,Type S 3.5 V6 (600 Hp) Hybrid SH-AWD DCT,2022,22456
Acura,3.5 V6 (573 Hp) Hybrid SH-AWD DCT,2021,8307
Acura,3.2 V6 (290 Hp),2005,6824
Acura,3.0 i V6 24V (274 Hp),2001,45287
Acura,3.2 i V6 24V (293 Hp),2001,15637
Acura,3.2 i V6 24V (280 Hp),2001,38860
Acura,3.0 i V6 24V (274 Hp) Automatic,2001,41834
Acura,3.0 i V6 24V (274 Hp),1997,34369
Acura,3.0 i V6 24V (255 Hp) Automatic,2001,23381
Acura,3.0 i V6 24V (255 Hp),1997,23601
Acura,2.0 (272 Hp) SH-AWD Automatic,2021,39567
Acura,3.5 V6 (279 Hp) AWD Automatic,2018,33049
Acura,3.5 V6 (279 Hp) Automatic,2018,22910
Acura,3.5 V6 (273 Hp) AWD Automatic,2015,40513
Acura,3.5 V6 (273 Hp) Automatic,2015,30123
Acura,2.3 (240 Hp) AWD Automatic,2012,47127
Acura,2.3 (240 Hp) Automatic,2012,35451
Acura,2.3 (240 Hp) AWD Automatic,2009,20396
Acura,3.7 i V6 24V (304 Hp),2012,20993
Acura,3.5 i V6 24V AWD (304 Hp),2008,5943
Acura,3.5 i V6 24V (294 Hp) AWD Automatic,2008,31581
Acura,3.5 i V6 24V (228 Hp),2004,20721
Acura,3.5 i V6 24V (208 Hp),2001,10135
Acura,3.5 V6 (377 Hp) Hybrid SH-AWD DCT,2020,30628
Acura,3.5 V6 (310 Hp) Automatic,2020,25416
Acura,3.5 V6 (310 Hp),2017,9300
Acura,2.0 i 16V Type S (212 Hp),2007,27967
Acura,2.0 i 16V Type S (203 Hp),2005,11093
Acura,2.0 i 16V (162 Hp) Automatic,2007,5314
Acura,2.0 i 16V (162 Hp),2007,27088
Acura,3.5 (218 Hp),1999,18324
Acura,3.2 (177 Hp),1999,49944
Acura,3.7 V6 (305 Hp) Automatic,0,14434
Acura,3.7 V6 (305 Hp),0,49712
Acura,3.5 V6 (280 Hp) Automatic,0,15219
Acura,3.7 V6 (305 Hp) SH-AWD Automatic,0,28235
Acura,3.5 V6 (280 Hp) Automatic,0,15219
Acura,Type S 3.5 V6 (294 Hp) Automatic,2008,17105
Acura,3.2 i V6 24V (273 Hp) Automatic,2006,41853
Acura,3.2 i V6 24V (273 Hp),2006,17530
Acura,3.2 i V6 24V (261 Hp) Automatic,2008,35225
Acura,3.2 i V6 24V (261 Hp),2008,15579
Acura,Type S 3.2 i V6 24V (263 Hp) Automatic,2003,24338
Acura,3.2 V6 (228 Hp) Automatic,2003,37236
Acura,3.2 (203 Hp),2002,24657
Acura,2.5 (176 Hp) Automatic,2001,29958
Acura,3.2 V6 (200 Hp) Automatic,1998,10129
Acura,2.5 (176 Hp) Automatic,1998,5806
Acura,A-Spec 3.5 V6 (290 Hp) SH-AWD Automatic,0,15707
Acura,A-Spec 3.5 V6 (290 Hp) Automatic,0,45944
Acura,A-Spec 2.4 (206 Hp) DCT,0,8631
Acura,3.5 V6 (294 Hp) AWD Automatic,0,31753
Acura,3.5 V6 (294 Hp) Automatic,0,14296
Acura,2.4 (209 Hp) Automatic,0,24389
Acura,3.5 V6 (290 Hp) AWD Automatic,2017,49162
Acura,3.5 V6 (290 Hp) Automatic,2017,38581
Acura,2.4 (206 Hp) Automatic,2017,27477
Acura,3.5 V6 (280 Hp),2014,17421
Acura,2.4 (201 Hp) Automatic,2014,13243
Acura,2.4 (201 Hp),2014,19626
Acura,2.4 (201 Hp),2014,19626
Acura,2.4 i-VTEC (201 Hp) SportShift,2011,23408
Acura,2.4 i-VTEC (201 Hp),2011,38764
Acura,2.4 i 16V (203 Hp) Automatic,2008,32912
Acura,2.4 i 16V (203 Hp),2008,21249
Acura,3.7 V6 (300 Hp) Automatic,2013,45159
Alfa Romeo,2.0 Twin Spark Quadrifoglio (155 Hp),2000,32546
Alfa Romeo,1.9 JTD (105 Hp),2000,17875
Alfa Romeo,1.8 Twin Spark 16V (144 Hp),2000,25162
Alfa Romeo,1.6 Twin Spark 16V (120 Hp),2000,43429
Alfa Romeo,1.4 Twin Spark 16V (103 Hp),2000,47431
Alfa Romeo,2.0 Twin Spark 16V Quadrifoglio (155 Hp),1999,49267
Alfa Romeo,2.0 Twin Spark Quadrifoglio (150 Hp),1998,39218
Alfa Romeo,1.9 TD (90 Hp),1999,37515
Alfa Romeo,1.8 Twin Spark (144 Hp),1999,5323
Alfa Romeo,1.8 Twin Spark (140 Hp),1998,19760
Alfa Romeo,1.6 Twin Spark (120 Hp),1999,18676
Alfa Romeo,1.4 Twin Spark (103 Hp),1999,36410
Alfa Romeo,2.0 Twin Spark Quadrifoglio (150 Hp),1996,7045
Alfa Romeo,1.9 TD (90 Hp),1996,38470
Alfa Romeo,1.7 I.E. 16V (129 Hp),1996,18219
Alfa Romeo,1.6 I.E. (103 Hp),1996,16131
Alfa Romeo,1.4 I.E. (90 Hp),1996,34036
Alfa Romeo,2.0 ti (155 Hp),2000,32054
Alfa Romeo,1.9 JTD (105 Hp),2000,17875
Alfa Romeo,1.8 Twin Spark 16V (144 Hp),2000,25162
Alfa Romeo,1.6 Twin Spark 16V (120 Hp),2000,43429
Alfa Romeo,1.4 Twin Spark 16V (103 Hp),2000,47431
Alfa Romeo,2.0 ti (155 Hp),1999,15827
Alfa Romeo,2.0 ti (150 Hp),1998,13895
Alfa Romeo,1.9 TD (90 Hp),1999,37515
Alfa Romeo,1.8 Twin Spark (144 Hp),1999,5323
Alfa Romeo,1.8 Twin Spark (140 Hp),1998,19760
Alfa Romeo,1.6 Twin Spark (120 Hp),1999,18676
Alfa Romeo,1.4 Twin Spark (103 Hp),1999,36410
Alfa Romeo,2.0 Twin Spark (150 Hp),1996,44999
Alfa Romeo,1.9 TD (90 Hp),1996,38470
Alfa Romeo,1.7 i.e. (129 Hp),1996,39408
Alfa Romeo,1.6 i.e. (103 Hp),1996,8975
Alfa Romeo,1.4 i.e. (90 Hp),1996,25193
Alfa Romeo,2.0 Twin Spark (150 Hp) Automatic,2010,11687
Alfa Romeo,2.0 Twin Spark (150 Hp),2010,24575
Alfa Romeo,1.9 JTD (170 Hp),2010,44208
Alfa Romeo,1.9 JTD (120 Hp),2010,6981
Alfa Romeo,1.9 JTD (101 Hp),2005,17134
Alfa Romeo,1.9 16V JTD (150 Hp),2008,23939
Alfa Romeo,1.6 Twin Spark (120 Hp),2010,9802
Alfa Romeo,1.6 Twin Spark (105 Hp),2010,5895
Alfa Romeo,2.0 Twin Spark (150 Hp) Automatic,2010,11687
Alfa Romeo,2.0 Twin Spark (150 Hp),2010,24575
Alfa Romeo,1.9 JTD (170 Hp),2010,44208
Alfa Romeo,1.9 JTD (120 Hp),2010,6981
Alfa Romeo,1.9 JTD (101 Hp),2005,17134
Alfa Romeo,1.9 16V JTD (150 Hp),2008,23939
Alfa Romeo,1.6 Twin Spark (120 Hp),2010,9802
Alfa Romeo,1.6 Twin Spark ECO 16V (105 Hp),2010,25347
Alfa Romeo,3.2 V6 (250 Hp),2006,6662
Alfa Romeo,2.0 Twin Spark (150 Hp) Automatic,2004,35846
Alfa Romeo,2.0 Twin Spark (150 Hp),2004,8779
Alfa Romeo,1.9 JTD (115 Hp),2004,36219
Alfa Romeo,1.9 JTD (110 Hp),2001,39337
Alfa Romeo,1.9 JTD (101 Hp),2004,14045
Alfa Romeo,1.9 16V JTD (140 Hp),2004,24045
Alfa Romeo,1.6 Twin Spark (120 Hp),2004,5373
Alfa Romeo,1.6 Twin Spark 16V (105 Hp),2004,44017
Alfa Romeo,2.0 Twin Spark (150 Hp) Automatic,2004,35846
Alfa Romeo,2.0 Twin Spark (150 Hp),2004,8779
Alfa Romeo,1.9 JTD 16V (140 Hp),2004,10401
Alfa Romeo,1.9 JTD (115 Hp),2004,36219
Alfa Romeo,1.9 JTD (110 Hp),2001,39337
Alfa Romeo,1.9 JTD (101 Hp),2004,14045
Alfa Romeo,1.6 Twin Spark (120 Hp),2004,5373
Alfa Romeo,1.6 Twin Spark 16V (105 Hp),2004,44017
Alfa Romeo,2.5 V6 (165 Hp),1996,31472
Alfa Romeo,2.5 TD (125 Hp),1997,23822
Alfa Romeo,2.0 Twin Spark 16V (150 Hp),1998,25836
Alfa Romeo,2.0 Twin Spark (143 Hp),1993,15612
Alfa Romeo,2.0 Twin Spark (141 Hp),1995,39522
Alfa Romeo,2.0 Turbo 16V (190 Hp) Q4,1998,17040
Alfa Romeo,1.9 TD (90 Hp),1998,6410
Alfa Romeo,1.8 Twin Spark (129 Hp),1993,40321
Alfa Romeo,1.8 Twin Spark Sport (126 Hp),1996,28225
Alfa Romeo,1.7 Twin Spark 16V (140 Hp),1997,26737
Alfa Romeo,1.7 Twin Spark (115 Hp),1996,19979
Alfa Romeo,1.6 Twin Spark 16V (120 Hp),0,5426
Alfa Romeo,1.9 16V JTD M-Jet (150 Hp),2007,36328
Alfa Romeo,2.5 i V6 24V (192 Hp) Q-System,2006,46829
Alfa Romeo,2.5 i V6 24V (192 Hp),2006,25638
Alfa Romeo,2.4 JTD (175 Hp),2006,27483
Alfa Romeo,2.0 i 16V JTS (165 Hp),2006,48596
Alfa Romeo,1.9 JTD (115 Hp),2006,8324
Alfa Romeo,1.9 16V JTD (140 Hp),2006,15916
Alfa Romeo,1.8 16V Twin Spark (140 Hp),2006,37436
Alfa Romeo,1.6 16V Twin Spark (120 Hp),2006,33918
Alfa Romeo,2.5 i V6 24V (192 Hp) Q-System,2006,46829
Alfa Romeo,2.5 i V6 24V (192 Hp),2006,25638
Alfa Romeo,2.4 JTD (175 Hp),2006,27483
Alfa Romeo,2.0 i 16V JTS (165 Hp),2006,48596
Alfa Romeo,2.0 16V JTS (165 Hp) Selespeed,0,9897
Alfa Romeo,1.9 JTD (115 Hp),2006,8324
Alfa Romeo,1.9 16V JTD (150 Hp) Q4,0,42052
Alfa Romeo,1.9 16V JTD (140 Hp),2006,15916
Alfa Romeo,1.8 16V Twin Spark (140 Hp),2006,37436
Alfa Romeo,1.6 16V Twin Spark (120 Hp),2006,33918
Alfa Romeo,3.2 i V6 24V (250 Hp),2007,25675
Alfa Romeo,3.2 i V6 24V (250 Hp),2007,25675
Alfa Romeo,2.5 V6 24V (190 Hp) Q-system,2002,14296
Alfa Romeo,2.5 i V6 24V (190 Hp) Automatic,2002,20395
Alfa Romeo,2.5 i V6 24V (190 Hp),2002,31287
Alfa Romeo,2.4 JTD (150 Hp),2003,22924
Alfa Romeo,2.4 JTD (136 Hp),2003,20720
Alfa Romeo,2.0 JTS (165 Hp),2003,42764
Alfa Romeo,2.0 16V Twin Spark (155 Hp),2003,27127
Alfa Romeo,2.0 16V Twin Spark (150 Hp),2002,17742
Alfa Romeo,1.9 JTD (115 Hp),2003,24799
Alfa Romeo,1.9 JTD (110 Hp),2001,39337
Alfa Romeo,1.9 JTD (105 Hp),2003,32605
Alfa Romeo,1.8 16V Twin Spark (144 Hp),0,16385
Alfa Romeo,1.8 16V Twin Spark (140 Hp),2003,32163
Alfa Romeo,1.6 16V Twin Spark (120 Hp),2003,32645
Alfa Romeo,2.5 V6 24V (190 Hp) Q-system,2003,27202
Alfa Romeo,2.5 i V6 24V (190 Hp) Automatic,2003,23990
Alfa Romeo,2.5 i V6 24V (190 Hp),2003,30401
Alfa Romeo,2.5 i V6 24V (190 Hp),2003,30401
Alfa Romeo,2.4 JTD (150 Hp),2003,22924
Alfa Romeo,2.4 JTD (136 Hp),2000,38189
Alfa Romeo,2.0 JTS (165 Hp),2003,42764
Alfa Romeo,2.0 16V Twin Spark (155 Hp),2002,48952
Alfa Romeo,2.0 16V Twin Spark (150 Hp),2002,17742
Alfa Romeo,1.9 JTD (115 Hp),2003,24799
Alfa Romeo,1.9 JTD (110 Hp),2001,39337
Alfa Romeo,1.9 JTD (105 Hp),2000,17875
Alfa Romeo,1.8 16V Twin Spark (144 Hp),0,16385
Alfa Romeo,1.8 16V Twin Spark (140 Hp),2003,32163
Alfa Romeo,1.6 16V Twin Spark (120 Hp),2003,32645
Alfa Romeo,3.2 JTS V6 (260 Hp) Q4 Q-Tronic,2010,31841
Alfa Romeo,3.2 JTS V6 (260 Hp) Q4,2009,6856
Alfa Romeo,3.2 JTS V6 (260 Hp),2009,11861
Alfa Romeo,2.4 JTDM 20V (210 Hp) Q4,2009,47214
Alfa Romeo,2.4 JTDM 20V (210 Hp),2009,13897
Alfa Romeo,2.4 JTDM (200 Hp) Q-Tronic,2010,49454
Alfa Romeo,2.4 JTDM (200 Hp),2007,23001
Alfa Romeo,2.2 JTS (185 Hp) Selespeed,2010,29215
Alfa Romeo,2.2 JTS (185 Hp),2009,42667
Alfa Romeo,2.0 JTDM 16V (170 Hp) Eco,2011,20641
Alfa Romeo,2.0 JTDM 16V (170 Hp),2011,7684
Alfa Romeo,2.0 JTDM (136 Hp),2011,37411
Alfa Romeo,1.9 JTS (160 Hp),2009,17796
Alfa Romeo,1.9 JTDM 16V (150 Hp) Q-Tronic,2010,13783
Alfa Romeo,1.9 JTDM 16V (150 Hp),2010,5981
Alfa Romeo,1.9 JTDM 8V (120 Hp),2009,34850
Alfa Romeo,1.8 MPI (140 Hp),2010,15343
Alfa Romeo,1.750 TBi (200 Hp),2011,23695
Alfa Romeo,3.2 JTS V6 (260 Hp) Q4 Q-Tronic,2010,31841
Alfa Romeo,3.2 JTS V6 (260 Hp) Q4,2009,6856
Alfa Romeo,3.2 JTS V6 (260 Hp),2009,11861
Alfa Romeo,2.4 JTDM 20V (210 Hp) Q4,2009,47214
Alfa Romeo,2.4 JTDM 20V (210 Hp),2009,13897
Alfa Romeo,2.4 JTDM (200 Hp) Q-Tronic,2010,49454
Alfa Romeo,2.4 JTDM (200 Hp),2007,23001
Alfa Romeo,2.2 JTS (185 Hp) Selespeed,2010,29215
Alfa Romeo,2.2 JTS (185 Hp),2009,42667
Alfa Romeo,2.0 JTDM 16V (170 Hp) Eco,2011,20641
Alfa Romeo,2.0 JTDM 16V (170 Hp),2011,7684
Alfa Romeo,2.0 JTDM 16V (136 Hp),2011,44799
Alfa Romeo,1.9 JTS (160 Hp),2009,17796
Alfa Romeo,1.9 JTDM 16V (150 Hp) Q-Tronic,2010,13783
Alfa Romeo,1.9 JTDM 16V (150 Hp),2010,5981
Alfa Romeo,1.9 JTDM 8V (120 Hp),2009,34850
Alfa Romeo,1.8 MPI (140 Hp),2010,15343
Alfa Romeo,1.750 TBi (200 Hp),2011,23695
Alfa Romeo,3.0 V6 (192 Hp) Automatic,1992,10399
Alfa Romeo,3.0 V6 (192 Hp),1992,37281
Alfa Romeo,3.0 V6 (184 Hp) Automatic,1998,49031
Alfa Romeo,3.0 V6 (184 Hp),1998,18677
Alfa Romeo,3.0 V6 (180 Hp) Automatic,1992,33035
Alfa Romeo,3.0 V6 (180 Hp),1992,5135
Alfa Romeo,3.0 i.e. QV (200 Hp),1992,34337
Alfa Romeo,3.0 i V6 24V (230 Hp),1995,22126
Alfa Romeo,3.0 24V QV (232 Hp),1998,28690
Alfa Romeo,3.0 24V (228 Hp) Q4,1998,9177
Alfa Romeo,3.0 24V (210 Hp) Automatic,1998,12710
Alfa Romeo,3.0 24V (210 Hp),1998,24818
Alfa Romeo,2.5 V6 (163 Hp),1998,41821
Alfa Romeo,2.5 TD (125 Hp),1998,29651
Alfa Romeo,2.5 TD (117 Hp),1991,19040
Alfa Romeo,2.0 V6 Turbo (205 Hp),1992,31716
Alfa Romeo,2.0 V6 Turbo (201 Hp),1998,28833
Alfa Romeo,2.0 Twin Spark (148 Hp),1990,14285
Alfa Romeo,2.0 Twin Spark (146 Hp),1992,8017
Alfa Romeo,2.0 Twin Spark (144 Hp),1998,22562
Alfa Romeo,2.0 Twin Spark (143 Hp),1991,25293
Alfa Romeo,2.0 Turbo (175 Hp),1991,17882
Alfa Romeo,3.2 i V6 24V (240 Hp),2007,18749
Alfa Romeo,3.0 V6 24V (220 Hp) Sportronic,2005,43030
Alfa Romeo,2.5 V6 24V (188 Hp),2005,42416
Alfa Romeo,2.4 JTD 20V (175 Hp) Automatic,2007,36128
Alfa Romeo,2.4 JTD 20V (175 Hp),2007,35939
Alfa Romeo,2.4 JTD 10V (150 Hp),2005,23619
Alfa Romeo,2.0 Twin Spark (150 Hp),2005,5876
Alfa Romeo,3.0 i V6 24V (226 Hp) Automatic,2001,47654
Alfa Romeo,3.0 i V6 24V (226 Hp),2001,5294
Alfa Romeo,3.0 i V6 24V (220 Hp) Automatic,2003,28591
Alfa Romeo,3.0 i V6 24V (220 Hp),2003,6021
Alfa Romeo,2.5 i V6 24V (190 Hp) Automatic,2001,45493
Alfa Romeo,2.5 i V6 24V (190 Hp),2001,21665
Alfa Romeo,2.5 i V6 24V (188 Hp),2003,9992
Alfa Romeo,2.4 JTD (150 Hp),2003,22924
Alfa Romeo,2.4 JTD (140 Hp),2003,30472
Alfa Romeo,2.4 JTD (136 Hp),2001,28200
Alfa Romeo,2.0 i V6 (205 Hp),2000,11969
Alfa Romeo,2.0 16V Twin Spark (155 Hp),2000,24943
Alfa Romeo,2.0 16V Twin Spark (150 Hp),2000,8003
Alfa Romeo,2000 (132 Hp),1983,21238
Alfa Romeo,1750 (113 Hp),1972,14989
Alfa Romeo,1.8 TD (84 Hp),1994,17071
Alfa Romeo,1.7 i.e. (107 Hp) 4x4,1992,42095
Alfa Romeo,1.7 i.e. (107 Hp),1992,44078
Alfa Romeo,1.7 i.e. (105 Hp),1994,19264
Alfa Romeo,1.7 16V (132 Hp) 4x4,1992,29529
Alfa Romeo,1.7 16V (132 Hp),1994,43763
Alfa Romeo,1.7 16V (129 Hp) 4x4,1994,29561
Alfa Romeo,1.7 16V (129 Hp),1994,29085
Alfa Romeo,1.5 i.e (97 Hp),1994,44282
Alfa Romeo,1.4 i.e. (90 Hp) 4x4,1994,13046
Alfa Romeo,1.4 i.e. (90 Hp),1994,12045
Alfa Romeo,1.4 i.e. (88 Hp),1994,36335
Alfa Romeo,1.8 TD (84 Hp),1994,17071
Alfa Romeo,1.7 i.e. (107 Hp) 4x4,1992,42095
Alfa Romeo,1.7 i.e. (107 Hp),1992,44078
Alfa Romeo,1.7 i.e. (105 Hp),1994,19264
Alfa Romeo,1.7 16V (132 Hp) 4x4,1994,30407
Alfa Romeo,1.7 16V (132 Hp),1992,18907
Alfa Romeo,1.7 16V (129 Hp) 4x4,1994,29561
Alfa Romeo,1.7 16V (129 Hp),1994,29085
Alfa Romeo,1.5 (97 Hp),1994,36749
Alfa Romeo,1.5 (105 Hp),1991,18501
Alfa Romeo,1.4 i.e. (90 Hp),1994,12045
Alfa Romeo,1.4 i.e. (88 Hp),1994,36335
Alfa Romeo,1.7 i.e. (105 Hp) 4x4,1989,20027
Alfa Romeo,1.7 i.e. (105 Hp),1989,37612
Alfa Romeo,1.7 (118 Hp),1989,6740
Alfa Romeo,1.5 (90 Hp) 4x4,1986,39626
Alfa Romeo,1.5 (90 Hp),1986,23721
Alfa Romeo,1.5 (105 Hp) 4x4,1989,22286
Alfa Romeo,1.5 (105 Hp),1989,18007
Alfa Romeo,1.5 (102 Hp) 4x4,1989,21256
Alfa Romeo,1.5 (102 Hp),1989,23517
Alfa Romeo,1.8 TD (73 Hp),1990,17924
Alfa Romeo,1.7 QV (118 Hp),1989,46533
Alfa Romeo,1.7 i.e. (105 Hp),1989,37612
Alfa Romeo,1.5 QV (105 Hp),1989,48519
Alfa Romeo,1.5 (90 Hp) 4x4,1986,39626
Alfa Romeo,1.5 (90 Hp),1986,23721
Alfa Romeo,1.5 (84 Hp) 4x4,1984,42997
Alfa Romeo,1.5 (84 Hp),1985,31580
Alfa Romeo,1.5 (105 Hp) 4x4,1989,22286
Alfa Romeo,1.5 (102 Hp) 4x4,1989,21256
Alfa Romeo,1.5 (102 Hp),1989,23517
Alfa Romeo,1.3 (86 Hp),1989,49214
Alfa Romeo,1.3 (75 Hp),1989,48695
Alfa Romeo,1.3 (68 Hp),1989,42476
Alfa Romeo,2.0 V8 (230 Hp),1969,10393
Alfa Romeo,1.7 (240 Hp),2019,25536
Alfa Romeo,1.7 (240 Hp) TCT,2019,23307
Alfa Romeo,1.7 (240 Hp) TCT,2016,11919
Alfa Romeo,2.5 TD (105 Hp),1986,45982
Alfa Romeo,2.5 i.e. (158 Hp),1984,18809
Alfa Romeo,2.5 i.e. (150 Hp),1986,13202
Alfa Romeo,2.0 (135 Hp),1988,9813
Alfa Romeo,Quadrifoglio Verde 3.0 V6 (192 Hp) CAT,1992,8752
Alfa Romeo,Quadrifoglio Verde 1.8 (165 Hp),1992,35318
Alfa Romeo,Quadrifoglio Verde 2.5 V6 (156 Hp) Automatic,1991,39378
Alfa Romeo,America 3.0 V6 (188 Hp),1990,39026
Alfa Romeo,America 3.0 V6 (185 Hp) CAT,1992,12031
Alfa Romeo,America 1.8 Turbo (155 Hp),1991,11711
Alfa Romeo,2.4 TD (112 Hp),1991,18070
Alfa Romeo,2.0 Twin Spark (148 Hp) CAT,1991,19821
Alfa Romeo,2.0 Twin Spark (145 Hp),1992,24818
Alfa Romeo,2.0 TD (95 Hp),1992,29385
Alfa Romeo,1.8 i.e. (122 Hp),1989,26148
Alfa Romeo,1.8 i.e. (120 Hp) CAT,1992,34222
Alfa Romeo,1.8 (120 Hp),1989,33909
Alfa Romeo,1.6 i.e. (107 Hp),1992,36898
Alfa Romeo,1.6 (110 Hp),1989,44715
Alfa Romeo,Quadrifoglio Verde 2.5 V6 (156 Hp) Automatic,1988,24737
Alfa Romeo,Quadrifoglio Verde 2.5 V6 (156 Hp),1988,16365
Alfa Romeo,America 3.0 V6 (188 Hp),1988,47779
Alfa Romeo,America 1.8 Turbo (155 Hp),1990,37859
Alfa Romeo,2.0 Twin Spark (148 Hp),1988,15917
Alfa Romeo,2.0 TD (95 Hp),1988,37846
Alfa Romeo,2.0 (128 Hp) CAT,1988,11373
Alfa Romeo,2.0 (128 Hp),1988,10185
Alfa Romeo,1.8 Turbo i.e. (155 Hp),1987,31046
Alfa Romeo,1.8 (120 Hp),1988,10552
Alfa Romeo,1.6 (110 Hp) CAT,1988,37652
Alfa Romeo,1.6 (110 Hp),1988,48518
Alfa Romeo,4.7 V8 (450 Hp),2010,19344
Alfa Romeo,4.7i V8 32V (450 Hp),2010,41157
Alfa Romeo,2.5 i.e. V6 Quadrifoglio Oro (156 Hp),1987,42542
Alfa Romeo,2.4 TD (110 Hp),1987,17301
Alfa Romeo,2.0 i.e. (132 Hp),1987,5029
Alfa Romeo,2.0 i.e. (128 Hp),1987,23696
Alfa Romeo,1.8 (116 Hp),1987,31659
Alfa Romeo,1.3 (69 Hp),1981,7278
Alfa Romeo,1.3 (65 Hp),1979,12017
Alfa Romeo,1.2 (63 Hp),1981,30150
Alfa Romeo,1.7 i.e. (105 Hp),1989,37612
Alfa Romeo,1.7 (118 Hp),1989,6740
Alfa Romeo,1.5 Veloce (102 Hp),1987,7178
Alfa Romeo,1.5 (95 Hp),1987,44192
Alfa Romeo,1.5 (83 Hp),1981,47197
Alfa Romeo,1.5 (105 Hp),1987,46565
Alfa Romeo,1.4 (85 Hp),1989,25177
Alfa Romeo,1.4 (76 Hp),1980,33676
Alfa Romeo,1.3 (76 Hp),1981,46418
Alfa Romeo,1.5 ti Sprint (105 Hp),0,42788
Alfa Romeo,1.5 ti (95 Hp),0,5159
Alfa Romeo,1.5 (85 Hp),0,9175
Alfa Romeo,1.3 ti (86 Hp),0,6248
Alfa Romeo,1.3 ti (75 Hp),0,9178
Alfa Romeo,1.3 Super (68 Hp),0,15012
Alfa Romeo,1.3 SC (79 Hp),0,34689
Alfa Romeo,1.3 (79 Hp),1980,39873
Alfa Romeo,1.2 ti (68 Hp),1984,44395
Alfa Romeo,1.2 (63 Hp),1984,33472
Alfa Romeo,1.2 (63 Hp),0,33260
Alfa Romeo,1.2 (60 Hp),1984,29681
Alfa Romeo,2.4 TD (95 Hp),1984,20695
Alfa Romeo,2.0 TD (82 Hp),1983,26926
Alfa Romeo,2.0 (131 Hp),1984,36422
Alfa Romeo,2.0 (121 Hp),1980,31927
Alfa Romeo,1.8 (122 Hp),1984,44750
Alfa Romeo,1.8 (121 Hp),1984,29898
Alfa Romeo,1.8 (116 Hp),1977,40335
Alfa Romeo,1.6 (107 Hp),1984,40649
Alfa Romeo,2.0 (131 Hp),1984,36422
Alfa Romeo,2.0 (121 Hp),1986,33168
Alfa Romeo,1.8 (121 Hp),1976,41153
Alfa Romeo,1.8 (116 Hp),1976,24150
Alfa Romeo,1.6 (107 Hp),1982,21504
Alfa Romeo,1.5 Ti (95 Hp),1986,46866
Alfa Romeo,1.3 TI (86 Hp),1986,33083
Alfa Romeo,1.2 (68 Hp),1986,38935
